mouse,lesion,DAPI_count,total_host_count,B220_count,CD4_count,CD8_count,area,nonrep_tb,rep_tb,total_tb,B220_percent,CD4_percent,CD8_percent,Other_percent,B220_prop,CD4_prop,CD8_prop,DAPI_prop,DAPI_count_500,total_host_count_500,B220_count_500,CD4_count_500,CD8_count_500,RS_index,log_rep_tb,log_nonrep_tb,log_total_tb,log_RS_index,log_RS_prop,RS_prop,Vaccination,Timepoint
SAL19,L04,104,383,154,90,57,17363.1093,44,0,44,40.20887728,23.49869452,14.88250653,27.154047,0.402088773,0.234986945,0.148825065,0.27154047,0.208,0.766,0.308,0.18,0.114,0,0,3.80666249,3.80666249,0,0,0,SAL,D114
SAL19,L05,1445,1611,47,52,69,109802.645,103,7,110,2.917442582,3.227808814,4.283054004,89.69584109,0.029174426,0.032278088,0.04283054,0.896958411,2.89,3.222,0.094,0.104,0.138,4.64042716,2.079441542,4.644390899,4.709530201,13.08880496,0.441539061,0.063636364,SAL,D114
SAL19,L06,1601,2489,431,273,219,170937.3054,348,45,393,17.31619124,10.96826035,8.798714343,64.32302129,0.173161912,0.109682603,0.087987143,0.643230213,3.202,4.978,0.862,0.546,0.438,20.41742287,3.828641396,5.855071922,5.976350909,15.70086754,0.64063196,0.114503817,SAL,D114
SAL19,L07,3035,4557,1086,209,276,280138.9261,471,58,529,23.83146807,4.586350669,6.056616195,66.60083388,0.238314681,0.045863507,0.060566162,0.666008339,6.07,9.114,2.172,0.418,0.552,14.29498585,4.077537444,6.156978986,6.272877007,9.116287862,0.650026685,0.109640832,SAL,D114
SAL21,L01,7406,10188,892,979,926,630883.0508,2561,159,2720,8.755398508,9.609344327,9.08912446,72.69336474,0.087553985,0.096093443,0.090891245,0.726933647,14.812,20.376,1.784,1.958,1.852,16.57553343,5.075173815,7.848543482,7.908754739,5.019737689,0.641715919,0.058455882,SAL,D114
SAL21,L02,1749,2447,134,321,252,171039.975,437,32,469,5.476093175,13.1181038,10.29832448,71.47527585,0.054760932,0.131181038,0.102983245,0.714752758,3.498,4.894,0.268,0.642,0.504,14.03483834,3.496507561,6.08221891,6.152732695,14.45461414,0.568285303,0.068230277,SAL,D114
SAL21,L03,2206,2592,131,125,131,149185.8388,130,10,140,5.054012346,4.822530864,5.054012346,85.10802469,0.050540123,0.048225309,0.050540123,0.851080247,4.412,5.184,0.262,0.25,0.262,4.154795821,2.397895273,4.875197323,4.94875989,9.390730965,0.484544679,0.071428571,SAL,D114
SAL21,L04,2407,3394,149,262,583,188109.8228,795,53,848,4.390100177,7.719505009,17.17737183,70.9192693,0.043901002,0.07719505,0.171773718,0.709192693,4.814,6.788,0.298,0.524,1.166,16.65684541,3.988984047,6.679599186,6.744059186,11.86646688,0.591481174,0.0625,SAL,D114
SAL21,L05,1449,1964,96,234,185,111387.9617,301,19,320,4.887983707,11.91446029,9.419551935,73.77800407,0.048879837,0.119144603,0.094195519,0.737780041,2.898,3.928,0.192,0.468,0.37,10.28479407,2.995732274,5.710427017,5.771441123,15.41619514,0.519061394,0.059375,SAL,D114
SAL21,L06,1693,2425,109,351,276,170466.9265,368,35,403,4.494845361,14.4742268,11.3814433,69.81443299,0.044948454,0.144742268,0.113814433,0.69814433,3.386,4.85,0.218,0.702,0.552,15.80569251,3.583518938,5.910796644,6.001414878,15.00394949,0.59711235,0.086848635,SAL,D114
